instnm,conference,state,year,full_time_enrollment,inflation_adjusted_subsidy,inflation_adjusted_athletic_expenses,inflation_adjusted_athletic_revenues,instate_tuition
Purdue University-Main Campus,Big Ten Conference,Indiana,2010,34871,0,63223048,66785171,9070
SUNY at Albany,America East Conference,New York,2014,14398,15438227,19020977,19020977,8527
SUNY at Albany,America East Conference,New York,2013,14398,13702351,16563170,16563170,8080
SUNY at Albany,America East Conference,New York,2012,14398,12269873,15450604,15450604,7525
SUNY at Albany,America East Conference,New York,2011,14398,13201862,15709634,15709634,7172
SUNY at Albany,America East Conference,New York,2010,14398,13456291,16107304,16107304,6830
SUNY at Binghamton,America East Conference,New York,2014,14383,12269494,14806604,15566967,8720
SUNY at Binghamton,America East Conference,New York,2013,14383,11529488,14622461,14415292,8144
SUNY at Binghamton,America East Conference,New York,2012,14383,10969390,14308211,14156669,7645
SUNY at Binghamton,America East Conference,New York,2011,14383,11339295,14793849,14413670,7216
SUNY at Binghamton,America East Conference,New York,2010,14383,10958676,13528157,14265481,6881
University of Maine,America East Conference,Maine,2014,8739,12829475,19392653,19490936,10606
University of Maine,America East Conference,Maine,2013,8739,12934994,19086671,19136687,10600
University of Maine,America East Conference,Maine,2012,8739,12391211,19236278,19434949,10594
University of Maine,America East Conference,Maine,2011,8739,12832626,19362656,19566359,10588
University of Maine,America East Conference,Maine,2010,8739,10572813,17702811,17678276,10142
University of Massachusetts-Lowell,America East Conference,Massachusetts,2014,10322,10292273,12786739,12988025,12447
University of Massachusetts-Lowell,America East Conference,Massachusetts,2013,10322,7859771,10163270,10119666,12097
University of Massachusetts-Lowell,America East Conference,Massachusetts,2012,10322,7727844,8696418,8691370,11852
University of Massachusetts-Lowell,America East Conference,Massachusetts,2011,10322,6726126,7939959,7677541,11297
University of Massachusetts-Lowell,America East Conference,Massachusetts,2010,10322,5828711,7251042,7653864,10506
University of New Hampshire-Main Campus,America East Conference,New Hampshire,2014,13336,18628939,26972273,26799800,16552
University of New Hampshire-Main Campus,America East Conference,New Hampshire,2013,13336,18500106,26098960,26596113,16496
University of New Hampshire-Main Campus,America East Conference,New Hampshire,2012,13336,17116393,25489124,25200601,16422
University of New Hampshire-Main Campus,America East Conference,New Hampshire,2011,13336,19465388,28787605,27834508,15250
University of New Hampshire-Main Campus,America East Conference,New Hampshire,2010,13336,19232516,28108273,27574182,13672
Stony Brook University,America East Conference,New York,2014,20044,23298044,26934534,27504770,8430
Stony Brook University,America East Conference,New York,2013,20044,20006369,25427834,25405180,8001
Stony Brook University,America East Conference,New York,2012,20044,18654352,24622454,26749389,7560
Stony Brook University,America East Conference,New York,2011,20044,18976009,22816400,25818457,6994
Stony Brook University,America East Conference,New York,2010,20044,17913826,21830661,22356146,6580
University of Vermont,America East Conference,Vermont,2014,11001,13392986,19071456,18344402,16196
University of Vermont,America East Conference,Vermont,2013,11001,13203013,18558413,18344320,15718
University of Vermont,America East Conference,Vermont,2012,11001,13157712,18511168,17476569,15284
University of Vermont,America East Conference,Vermont,2011,11001,12701292,18078538,17686791,14784
University of Vermont,America East Conference,Vermont,2010,11001,12185517,17322114,17259565,14066
