no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1763,F2,9,F2-9,RSS,R,std,std,rich,f,1.7,5.5,4,9.5,39,2.032
2056,F2,3,F2-3,PPS,P,std,poor,poor,f,1.7,5.5,4,9.5,,2.032
2106,F2,8,F2-8,PPS,P,std,poor,poor,f,1.9,5.5,5,10.5,,2.032
1719,F2,3,F2-3,RPP,R,poor,poor,rich,f,1.5,6.5,5,11.5,,2.032
1610,F2,5,F2-5,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,36,2.033
1600,F2,3,F2-3,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,38,2.033
1832,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.4,4.5,4,8.5,45,2.033
1530,F2,5,F2-5,RRR,R,rich,rich,rich,f,1.5,3.5,5,8.5,45,2.033
1862,F2,1,F2-1,PPR,P,rich,poor,poor,f,1.7,4.5,5,9.5,,2.033
1880,F2,5,F2-5,PRR,P,rich,rich,poor,f,1.4,4.5,4,8.5,,2.033
2032,F2,8,F2-8,PSP,P,poor,std,poor,f,1.6,4.5,4,8.5,36,2.034
1552,F2,6,F2-6,RSR,R,rich,std,rich,f,1.3,3.5,5,8.5,39,2.034
1523,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.6,3.5,4,7.5,43,2.034
1565,F2,5,F2-5,RPR,R,rich,poor,rich,f,1.2,1.5,5,6.5,,2.034
1514,F2,4,F2-4,SSS,S,std,std,std,f,1.9,5.5,5,10.5,,2.034
1579,F2,4,F2-4,RRS,R,std,rich,rich,f,1.4,5.5,4,9.5,34,2.035
1946,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.035
1853,F2,1,F2-1,PSS,P,std,std,poor,f,1.6,5.5,4,9.5,32,2.036
1757,F2,8,F2-8,RSS,R,std,std,rich,f,1.7,5.5,4,9.5,36,2.036
2035,F2,8,F2-8,PSP,P,poor,std,poor,f,1.3,4.5,3,7.5,,2.036
2112,F2,8,F2-8,PPS,P,std,poor,poor,f,1.6,5.5,5,10.5,30,2.037
1577,F2,4,F2-4,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,33,2.037
1463,F2,3,F2-3,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,,2.037
